pwsid,name,state,counties_served,cities_served,population_served,service_connections,owner_type,source_water_type,violations_total_ever,violations_health_based_ever,violations_health_based_last5y,violations_health_based_currently_unaddressed,most_recent_violation_date,most_recent_health_violation_date,contaminants_ever_flagged,last_reported_date
NY7003493,NEW YORK CITY SYSTEM,NY,Bronx; Kings; New York; Queens; Richmond,NEW YORK (C),8271000,727058,L,SW,24,10,0,0,2017-01-02,2017-01-02,Coliform (TCR); Long Term 2 Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule,06/25/2026
CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",CA,Los Angeles,LOS ANGELES,3875566,709623,L,SW,8,5,0,0,2018-01-01,2018-01-01,Coliform (TCR); Groundwater Rule; Long Term 2 Enhanced Surface Water Treatment Rule; Surface Water Treatment Rule,06/22/2026
TX1010013,CITY OF HOUSTON,TX,Harris,HOUSTON,2970543,990181,L,SW,9,4,1,0,2025-01-05,2025-01-05,Coliform (TCR); Interim Enhanced Surface Water Treatment Rule,06/26/2026
IL0316000,CHICAGO,IL,Cook,CHICAGO,2721308,526883,L,SW,56,1,0,0,2025-02-07,1993-07-01,Lead and Copper Rule,05/27/2026
TX0150018,SAN ANTONIO WATER SYSTEM,TX,Bexar,SAN ANTONIO,2643729,881243,L,SWP,23,1,0,0,2016-10-06,2005-01-12,Coliform (TCR),06/26/2026
MA6000000,MWRA,MA,Suffolk,BOSTON,2580000,186,S,SW,4,1,0,0,2001-01-01,1992-01-01,Surface Water Treatment Rule,06/22/2026
FL4130871,MDWASA - MAIN SYSTEM,FL,Miami-Dade,MIAMI,2377460,560000,L,GW,11,0,0,0,2024-01-04,,,05/18/2026
MD0150005,WASHINGTON SUBURBAN SANITARY COMMISSION,MD,Montgomery,LAUREL,1900000,438639,L,SW,2,0,0,0,2007-01-01,,,05/18/2026
AZ0407025,PHOENIX CITY OF,,Maricopa,PHOENIX,1695000,430118,L,SW,76,3,0,0,2025-01-05,2021-01-01,Coliform (TCR); Interim Enhanced Surface Water Treatment Rule; Trichloroethylene,05/14/2026
MD0300002,CITY OF BALTIMORE,MD,Baltimore city,BALTIMORE,1600000,424600,L,SW,37,7,2,0,2026-01-01,2026-01-01,Interim Enhanced Surface Water Treatment Rule; Revised Total Coliform Rule; Surface Water Treatment Rule; TTHM; Total Haloacetic Acids (HAA5),05/18/2026
PA1510001,PHILADELPHIA WATER DEPARTMENT,PA,Philadelphia,PHILADELPHIA,1600000,524021,L,SW,68,14,0,0,2026-01-03,2010-01-11,"CARBON, TOTAL; Surface Water Treatment Rule",06/15/2026
NV0000090,LAS VEGAS VALLEY WATER DISTRICT,NV,Clark,LAS VEGAS,1539277,442502,L,SWP,50,0,0,0,2017-01-01,,,06/17/2026
CA0110005,EAST BAY MUD,CA,Alameda,OAKLAND,1442800,392875,L,SW,6,1,0,0,1996-11-08,1996-11-08,"1,2-Dichloroethane",06/22/2026
CA3710020,"SAN DIEGO, CITY OF",CA,San Diego,SAN DIEGO,1385379,282783,L,SW,14,1,0,0,2020-01-04,2004-01-11,Coliform (TCR),06/22/2026
TX0570004,DALLAS WATER UTILITY,TX,Dallas,DALLAS,1356479,958265,L,SW,2,0,0,0,2010-01-07,,,06/26/2026
OH1801212,CLEVELAND PUBLIC WATER SYSTEM,OH,Cuyahoga,CLEVELAND,1308955,453705,L,SW,49,1,0,0,2024-01-01,2009-01-07,Lead and Copper Rule,05/15/2026
OH2504412,COLUMBUS PUBLIC WATER SYSTEM,OH,Franklin,COLUMBUS,1305946,287233,L,SW,9,8,0,0,2016-01-06,2016-01-06,Coliform (TCR); Nitrate; Surface Water Treatment Rule,05/15/2026
CO0116001,DENVER WATER BOARD,CO,Denver,DENVER,1287000,311339,L,SW,156,0,0,0,2024-01-03,,,06/17/2026
NC0160010,CHARLOTTE WATER,NC,Mecklenburg,CHARLOTTE,1163701,323527,L,SW,11,3,0,0,2014-01-12,2005-01-06,Coliform (TCR); Surface Water Treatment Rule,06/26/2026
WA5377050,SEATTLE PUBLIC UTILITIES,WA,King,Seattle,1161961,195204,L,SW,5,2,0,0,2015-01-12,2015-01-12,Lead and Copper Rule; Surface Water Treatment Rule,06/19/2026
VA6059501,FAIRFAX COUNTY WATER AUTHORITY,VA,Fairfax,HERNDON,1121613,281686,L,SW,1,0,0,0,,,,05/19/2026
TX2270001,CITY OF AUSTIN WATER & WASTEWATER,TX,Travis,AUSTIN,1115323,279758,L,SW,8,5,1,0,2022-01-02,2022-01-02,Interim Enhanced Surface Water Treatment Rule,06/26/2026
MO6010716,MO AMERICAN ST LOUIS ST CHARLES COUNTIES,MO,St. Charles; St. Louis,CHESTERFIELD,1111000,376501,P,SW,3,2,0,0,2010-01-06,2010-01-06,Interim Enhanced Surface Water Treatment Rule,06/16/2026
NY5110526,SUFFOLK COUNTY WATER AUTHORITY,NY,Suffolk,BABYLON (T); BROOKHAVEN (T); EAST HAMPTON (T); HUNTINGTON (T); ISLIP (T); RIVERHEAD (T); SMITHTOWN (T); SOUTHAMPTON (T); SOUTHOLD (T),1100000,336418,L,GW,13,3,0,0,2020-01-07,2020-01-07,Asbestos; Coliform (TCR); Nitrate,06/25/2026
GA1210001,ATLANTA,GA,DeKalb; Fulton,ATLANTA,1089893,188246,L,SW,17,7,0,0,2024-01-07,2019-01-04,TTHM; Total Haloacetic Acids (HAA5),06/12/2026
PR0002591,METROPOLITANO,,Bayamon Municipio; San Juan Municipio; Toa Alta Municipio,BAYAMON; SAN JUAN; TOA ALTA,1084637,406231,L,SW,808,346,38,0,2026-01-02,2026-01-02,"CARBON, TOTAL; Coliform (TCR); Interim Enhanced Surface Water Treatment Rule; Lead and Copper Rule; Revised Total Coliform Rule; Surface Water Treatment Rule; TTHM; Total Haloacetic Acids (HAA5)",06/05/2026
CA4310011,SAN JOSE WATER,CA,Santa Clara,SAN JOSE,1039920,237130,P,SW,5,3,1,0,2023-01-06,2023-01-06,Coliform (TCR); Surface Water Treatment Rule,06/22/2026
